DEPARTAMENTO,MUNICIPIO,CULTIVO,PERIODO,SEMESTRE,Area Sembrada (ha),Area Cosechada (ha),Produccion (t),Rendimiento (t/ha)
META,PUERTO CONCORDIA,ARROZ SECANO MECANIZADO ,2015A,A,900,900,4500,5
META,PUERTO CONCORDIA,CACAO,2015,A,433,253,227.7,0.9
META,PUERTO CONCORDIA,CAÑA PANELERA,2015,A,70,55,165,3
META,PUERTO CONCORDIA,CAUCHO,2015,A,14,14,16.8,1.2
META,PUERTO CONCORDIA,MAIZ TECNIFICADO,2015A,A,105,105,630,6
META,PUERTO CONCORDIA,MAIZ TRADICIONAL,2015A,A,800,800,2400,3
META,PUERTO CONCORDIA,MAIZ TRADICIONAL,2015B,B,850,850,3060,3.6
META,PUERTO CONCORDIA,MARACUYA,2015,A,37,37,592,16
META,PUERTO CONCORDIA,PALMA DE ACEITE,2015,A,7650,4750,85500,18
META,PUERTO CONCORDIA,PAPAYA,2015,A,25,18,630,35
META,PUERTO CONCORDIA,PATILLA,2015A,A,60,60,2100,35
META,PUERTO CONCORDIA,PATILLA,2015B,B,70,70,2450,35
META,PUERTO CONCORDIA,PIÑA,2015,A,80,20,920,46
META ,PUERTO CONCORDIA,PLATANO,2015,A,900,680,12920,19
META,PUERTO CONCORDIA,YUCA,2015,A,450,450,8100,18
META,PUERTO RICO,ARROZ SECANO MECANIZADO ,2015A,A,527,230,1495,6.5
META,PUERTO RICO,MAIZ TECNIFICADO,2015A,A,45,45,270,6
META ,PUERTO RICO,MAIZ TRADICIONAL,2015A,A,30,30,45,1.5
META,PUERTO RICO,PATILLA,2015A,A,200,200,7000,35
META,PUERTO RICO,MAIZ TRADICIONAL,2015B,B,10,10,16,1.6
META,PUERTO RICO,PATILLA,2015B,B,115,115,4025,35
META,PUERTO RICO ,YUCA,2015,A,40,40,720,18
META,PUERTO RICO,CACAO,2015,A,515,300,270,0.9
META ,PUERTO RICO,CAÑA PANELERA,2015,A,149,149,372.5,2.5
META,PUERTO RICO,CAUCHO,2015,A,132,104,228.8,2.2
META,PUERTO RICO,GUANABANA,2015,A,1,1,7,7
META,PUERTO RICO,GUAYABA,2015,A,5,5,40,8
META,PUERTO RICO,MARACUYA,2015,A,6,4,72,18
META,PUERTO RICO,PALMA DE ACEITE,2015,A,10700,4300,103200,24
META ,PUERTO RICO,PAPAYA,2015,A,12,12,420,35
META ,PUERTO RICO,PIÑA,2015,A,350,290,13050,45
META,PUERTO RICO,PLATANO,2015,A,1250,1200,24000,20
META,LEJANIAS,ARROZ SECANO MECANIZADO ,2015,A,29,6,36,6
META,LEJANIAS,FRIJOL,2015,A,70,70,105,1.5
META,LEJANIAS,MAIZ TECNIFICADO,2015,A,375,375,2250,6
META,LEJANIAS,MAIZ TRADICIONAL,2015,A,40,40,100,2.5
META,LEJANIAS,TOMATE,2015,A,2,2,60,30
META,LEJANIAS,FRIJOL,2015,B,15,15,22.5,1.5
META,LEJANIAS,MAIZ TECNIFICADO,2015,B,180,180,990,5.5
META,LEJANIAS,MAIZ TRADICIONAL,2015,B,40,40,80,2
META,LEJANIAS,SOYA,2015,B,20,20,38,1.9
META,LEJANIAS,YUCA,2015,A,340,340,6120,18
META ,LEJANIAS,AGUACATE,2015,A,215,170,1870,11
META,LEJANIAS,CACAO,2015,A,307,272,244.8,0.9
META,LEJANIAS,CAFÃ‰,2015,A,1075,835,1252.5,1.5
META ,LEJANIAS,CAÑA PANELERA,2015,A,280,280,700,2.5
META,LEJANIAS,CAUCHO,2015,A,2,2,4,2
META ,LEJANIAS,CITRICOS,2015,A,2580,2300,43700,19
META,LEJANIAS,GUANABANA,2015,A,40,40,104,2.6
META,LEJANIAS,GUAYABA,2015,A,1670,1450,13050,9
META,LEJANIAS,LULO,2015,A,12,12,60,5
META,LEJANIAS,MARACUYA,2015,A,260,260,5200,20
META,LEJANIAS,MORA,2015,A,17,17,153,9
META,LEJANIAS,PAPAYA,2015,A,5,5,200,40
META,LEJANIAS,PLATANO,2015,A,1310,1190,20230,17
META,LEJANIAS,PITAYA,2015,A,13,13,104,8
META,URIBE,MAIZ TRADICIONAL,2015,A,750,750,1875,2.5
META,URIBE,MAIZ MECANIZADO,2015,A,10,10,60,6
META,URIBE,FRIJOL,2015,A,15,15,10.5,0.7
META,URIBE,MAIZ TRADICIONAL,2015,B,400,400,800,2
META,URIBE,ARVEJA,2015,B,30,30,195,6.5
META,URIBE,YUCA,2015,A,160,160,2720,17
META,URIBE,AGUACATE,2015,A,25,3,33,11
META,URIBE,CACAO,2015,A,253,211,189.9,0.9
META,URIBE,CAÑA PANELERA,2015,A,65,65,195,3
META,URIBE,CAUCHO,2015,A,5,5,12.5,2.5
META,URIBE,CITRICOS,2015,A,150,135,3510,26
META,URIBE,PAPAYA,2015,A,110,92,3220,35
META,URIBE,PLATANO,2015,A,600,520,9880,19
META,URIBE,CAFÃ‰,2015,A,120,80,120,1.5
META,URIBE,PIÑA,2015,A,5,1,30,30
META,URIBE,MORA,2015,A,1,0,0,0
META,URIBE,MARACUYA,2015,A,3,1,15,15
META,FUENTE DE ORO,ARROZ SECANO MECANIZADO ,2015,A,8400,8400,54600,6.5
META,FUENTE DE ORO,ARROZ RIEGO,2015,A,120,120,684,5.7
META,FUENTE DE ORO,ARROZ RIEGO,2015,B,320,320,1824,5.7
META,FUENTE DE ORO,MAIZ TECNIFICADO,2015,A,1670,850,5100,6
META,FUENTE DE ORO,MAIZ TRADICIONAL,2015,A,10,10,18,1.8
META ,FUENTE DE ORO,PATILLA,2015,A,8,8,296,37
META,FUENTE DE ORO,MAIZ TECNIFICADO,2015,B,1465,700,4200,6
META,FUENTE DE ORO,MAIZ TRADICIONAL,2015,B,20,20,36,1.8
META,FUENTE DE ORO,SOYA,2015,B,230,230,598,2.6
META,FUENTE DE ORO,YUCA,2015,A,580,1580,28440,18
META,FUENTE DE ORO,AGUACATE,2015,A,20,20,130,6.5
META,FUENTE DE ORO,CACAO,2015,A,184,144,129.6,0.9
META,FUENTE DE ORO,CAÑA PANELERA,2015,A,4,4,7.2,1.8
META,FUENTE DE ORO,CITRICOS,2015,A,22,22,330,15
META,FUENTE DE ORO,GUAYABA,2015,A,42,42,210,5
META,FUENTE DE ORO,MANGOSTINO,2015,A,3,3,4.8,1.6
META,FUENTE DE ORO,MARACUYA,2015,A,31,21,273,13
META,FUENTE DE ORO,PALMA DE ACEITE,2015,A,3640,3090,83430,27
META,FUENTE DE ORO,PAPAYA,2015,A,37,25,950,38
META ,FUENTE DE ORO,PIÑA,2015,A,350,290,13050,45
META ,FUENTE DE ORO,PLATANO,2015,A,5050,4400,88000,20
META,MESETAS,MAIZ TECNIFICADO,2015,A,150,150,900,6
META,MESETAS,MAIZ TRADICIONAL,2015,A,450,450,720,1.6
META,MESETAS,MAIZ TECNIFICADO,2015,B,150,150,900,6
META,MESETAS,MAIZ TRADICIONAL,2015,B,500,500,800,1.6
META ,MESETAS,AGUACATE,2015,A,145,110,1320,12
META ,MESETAS,CACAO,2015,A,202,184,165.6,0.9
META,MESETAS,CAÑA PANELERA,2015,A,27,27,54,2
META ,MESETAS,CAUCHO,2015,A,182,82,147.6,1.8
META,MESETAS,CITRICOS,2015,A,47,42,840,20
META,MESETAS,MARACUYA,2015,A,47,44,792,18
META,MESETAS,PIÑA,2015,A,60,45,1575,35
META,MESETAS,PLATANO,2015,A,600,600,10200,17
META,MESETAS,CAFÃ‰,2015,A,1630,1210,1815,1.5
META,MESETAS,YUCA,2015,A,100,100,1800,18
META,CUMARAL ,AGUACATE,2015,A,4,4,32,8
META,CUMARAL ,CAFÃ‰,2015,A,38,33,49.5,1.5
META,CUMARAL ,CITRICOS,2015,A,100,92,1104,12
META,CUMARAL ,PALMA DE ACEITE,2015,A,10250,9100,273000,30
META,CUMARAL ,PIÑA,2015,A,22,22,880,40
META,CUMARAL ,CACAO,2015,A,56,46,41.4,0.9
META,CUMARAL ,GUAYABA PERA,2015,A,13,10,90,9
META,CUMARAL ,PLATANO,2015,A,20,20,320,16
META,CUMARAL ,PAPAYA,2015,A,14,14,490,35
META,CUMARAL ,CAÑA PANELERA,2015,A,24,20,40,2
META,CUMARAL ,YUCA,2015,A,17,17,187,11
META,CUMARAL ,ARROZ RIEGO,2015A,A,500,1300,8450,6.5
META,CUMARAL ,ARROZ SECANO MECANIZADO,2015A,A,1100,1100,5500,5
META,CUMARAL ,MAIZ TECNIFICADO,2015A,A,350,350,1925,5.5
META,CUMARAL ,MAIZ TRADICIONAL,2015A,A,8,8,16,2
META,CUMARAL ,ARROZ RIEGO,2015B,B,218,218,1417,6.5
META,CUMARAL ,MAIZ TECNIFICADO,2015B,B,800,800,4400,5.5
META,CUMARAL ,MAIZ TRADICIONAL,2015B,B,75,75,150,2
META,CUMARAL ,AHUYAMA ,2015,A,4,4,60,15
META,CUMARAL ,MARACUYA,2015,A,2,2,30,15
META,CUMARAL ,MANGOSTINO,2015,A,10,5,25,5
META,CUMARAL ,RAMBUTAN,2015,A,6,0,0,0
META,EL CALVARIO,LULO,2015,A,97,94,1410,15
META,EL CALVARIO,MORA,2015,A,94,90,900,10
META,EL CALVARIO,BANANO,2015,A,5.5,3,27,9
META,EL CALVARIO,CAÑA PANELERA,2015,A,64,60,480,8
META,EL CALVARIO,PLATANO,2015,A,5,3,27,9
META,EL CALVARIO,TOMATE DE ARBOL,2015,A,10,8,87.2,10.9
META,EL CALVARIO,TOMATE DE INVERNADERO,2015,A,4,4,80,20
META,EL CALVARIO,SAGU ,2015,A,40,40,120,3
META,EL CALVARIO,PAPA ,2015,A,1,1,20,20
META,EL CALVARIO,PAPA CRIOLLA ,2015,A,1,1,8,8
META,EL CALVARIO,YUCA,2015,A,5,5,40,8
META,EL CALVARIO,FRIJOL VOLUBLE,2015,A,350,350,945,2.7
META,EL CALVARIO,CEBOLLA DE RAMA ,2015,A,3,3,45,15
META,EL CALVARIO,PEPINO GUISO ,2015,A,3,3,3,1
META,EL CALVARIO,CILANTRO,2015,A,4,4,32,8
META,EL CALVARIO,MAIZ TRADICIONAL,2015A,A,46,46,92,2
META,EL CALVARIO,AHUYAMA ,2015A,A,3,3,39,13
META,EL CALVARIO,CEBOLLA DE BULBO ,2015A,A,4,4,64,16
META,EL CALVARIO,ARVEJA ,2015A,A,3,3,13.5,4.5
META,EL CALVARIO,PEPINO GUISO ,2015B,B,2,2,2,1
META,RESTREPO,PALMA DE ACEITE,2015,A,581,535,17120,32
META,RESTREPO,CITRICOS,2015,A,108,105,2100,20
META,RESTREPO,CACAO,2015,A,31,20,16,0.8
META,RESTREPO,CAFÃ‰,2015,A,30,20,30,1.5
META,RESTREPO,PLATANO,2015,A,48,40,640,16
META,RESTREPO,CAÑA PANELERA,2015,A,18,18,45,2.5
META,RESTREPO,BANANO,2015,A,3,5,68,13.6
META,RESTREPO,PIÑA,2015,A,18,18,720,40
META,RESTREPO,SAGU ,2015,A,7,7,21,3
META,RESTREPO,YUCA,2015,A,49,49,1225,25
META,RESTREPO,ARROZ RIEGO,2015A,A,250,250,1425,5.7
META,RESTREPO,ARROZ SECANO MECANIZADO,2015A,A,1508,1508,8595.6,5.7
META,RESTREPO,MAIZ TRADICIONAL,2015A,A,6,6,9.6,1.6
META,RESTREPO,ARROZ RIEGO,2015B,B,125,125,712.5,5.7
META,RESTREPO,MAIZ TRADICIONAL,2015B,B,5,5,8,1.6
META,RESTREPO,MANGOSTINO,2015,A,30,15,75,5
META,RESTREPO,RAMBUTAN,2015,A,20,0,0,0
META,SAN JUANITO ,AGUACATE ,2015,A,2,2,26,13
META,SAN JUANITO ,LULO,2015,A,15,15,135,9
META,SAN JUANITO ,MORA,2015,A,2,2,20,10
META,SAN JUANITO ,CAÑA PANELERA,2015,A,49,40,120,3
