DEPARTAMENTO;MUNICIPIO;CULTIVO;PERIODO;SEMESTRE;Area Sembrada (ha);Area Cosechada (ha);Producción (t);Rendimiento (t/ha);produccion;area cosechada;;;
META;ACACIAS;PALMA DE ACEITE;2015;AÑO;20000;16000;512000;32;97,06326743;91,61179502;;527491;100
META;ACACIAS;CITRICOS;2015;AÑO;320;280;5600;20;1,061629488;1,603206413;;512000;x
META;ACACIAS;CAUCHO;2015;AÑO;120;60;120;2;0,022749203;0,343544231;;;
META;ACACIAS;CACAO;2015;AÑO;402;382;191;0.5;0,036209149;2,187231606;;97,06326743;
META;ACACIAS;CAÑA PANELERA;2015;AÑO;62;52;104;2;0,019715976;0,297738334;;;
META;ACACIAS;PLATANO;2015;AÑO;55;40;360;9;0,06824761;0,229029488;;;
META;ACACIAS;PIÑA;2015;AÑO;115;90;3600;40;0,682476099;0,515316347;;;
META;ACACIAS;MARACUYA;2015;AÑO;50;40;640;16;0,121329084;0,229029488;;;
META;ACACIAS;YUCA;2015;AÑO;50;50;650;13;0,123224851;0,286286859;;;
META;ACACIAS;MANGOSTINO;2015;AÑO;56;44;176;4;0,033365498;0,251932436;;;
META;ACACIAS;RAMBUTAN;2015;AÑO;8;5;20;4;0,003791534;0,028628686;;;
META;ACACIAS;ARROZ RIEGO;2015A;A;55;55;275;5;0,052133591;0,314915545;;;
META;ACACIAS;ARROZ SECANO MECANIZADO;2015A;A;176;176;968;5.5;0,18351024;1,007729745;;;
META;ACACIAS;PATILLA;2015A;A;40;40;1000;25;0,189576694;0,229029488;;;
META;ACACIAS;PATILLA;2015B;B;65;65;1625;25;0,308062128;0,372172917;;;
META;ACACIAS;CAFÉ;2015;AÑO;80;80;120;1.5;0,022749203;0,458058975;;;
META;ACACIAS;LULO;2015;AÑO;3;3;27;9;0,005118571;0,017177212;;;
;ACACIAS;PLANTAS AROMATICAS;2015;AÑO;3;3;15;5;0,00284365;0,017177212;;;
;;;;;;17465;527491;;;;;;
